id,title,stage,concept_origin,generation_model,generation_prompt,product_type,source_bestseller,batch_id,replaces_design_id,generation_run_id,design_brief_id,provenance_class,best_color,created_at,updated_at,deleted_at
1000,50s headphones tee,live,new,nb2-4k,"retro headphones for a guitarist, proud mood, 2 colors",tee,,cnry082dee49_0,,1c3539d3-2622-4a0b-6d27-8b15a509f7dd,10001,full,MG,2026/04/02 08:27,2026-04-03T21:27:00+00:00,
1001,modern amplifier tee,approved,variation,nb2-4k,"watercolor amplifier for a metalhead, funny mood, 5 colors",tee,bs_40,cnry082dee49_1,977,ddcff98e-9d05-de41-314c-a522d1881c8c,10011,full,white,2026-02-04T19:23:00+00:00,2026-02-05T11:23:00+00:00,
1002,90s amplifier tee,approved,variation,gpt-image-2,"watercolor amplifier for a producer, rebellious mood, 6 colors",tee,bs_57,cnry082dee49_2,998,2e0262b5-47e4-64cf-0013-d7166f8318b8,10021,full,black,2026-02-11T06:37:00+00:00,2026-02-11T22:37:00+00:00,
1003,60s piano keys tee,live,variation,recraft-crisp,"retro piano keys for a producer, nostalgic mood, 4 colors",tee,bs_46,cnry082dee49_3,984,0e27e8cc-92de-1ec7-d3aa-541550c9429a,10031,full,MG,2026-01-05T22:12:00+00:00,2026-01-06T20:12:00+00:00,
1004,50s vinyl record tee,ready_for_ads,new,nb2-4k,"line art vinyl record for a saxophonist, chill mood, 5 colors",tee,,cnry082dee49_4,,d4628093-c719-c3db-082d-7383aa3c2bcb,10041,legacy-pre-funnel,black,2026-04-22T14:06:00+00:00,2026/04/25 11:06,
1005,60s turntable tee,approved,new,gpt-image-2,"vintage turntable for a drummer, proud mood, 3 colors",tee,,batch_20260305_1,,767519a8-3e59-316d-5803-e00e2ea1d514,10051,full,MG,2026-03-05T08:43:00+00:00,2026-03-05T10:43:00+00:00,
1006,  modern music notes tee,approved,variation,nb2-4k,"bold graphic music notes for a metalhead, chill mood, 3 colors",tee,bs_23,batch_20260305_6,1005,597e8920-9d9d-ace0-6964-a8174aefbc27,10061,full,white,2026-03-05T15:58:00+00:00,2026-03-06T21:58:00+00:00,2026-01-17T13:36:00+00:00
1007,80s cassette tee,ready_for_ads,variation,nb2-4k,"watercolor cassette for a guitarist, rebellious mood, 5 colors",tee,bs_68,batch_20260106_6,992,0e560a4b-f867-7c1f-9dea-e560407cceaf,10071,full,charcoal,2026-01-06T21:14:00+00:00,2026-01-09T16:14:00+00:00,
1008,50s guitar tee,approved,variation,nb2-4k,"retro guitar for a producer, proud mood, 3 colors",tee,,batch_20260409_3,997,751e9474-f5e0-3c62-fc14-5fb312ccb58a,10081,full,navy,2026-04-09T15:13:00+00:00,2026-04-10T05:13:00+00:00,
1009,70s amplifier tee,live,variation,fal-flux,"bold graphic amplifier for a classical musician, rebellious mood, 3 colors",tee,bs_52,batch_20260117_6,998,49f795bf-0ccf-5b0c-c24e-3b67794e3d4f,10091,full,heather navy,2026-01-17T11:16:00+00:00,2026-01-19T17:16:00+00:00,2026-04-26T19:32:00+00:00
1010,90s turntable tee,mockup_approved,variation,fal-flux,"bold graphic turntable for a country fan, nostalgic mood, 1 colors",tee,bs_106,batch_20260608_5,1002,fb966615-2c62-5fcd-2dd1-0a356052d9db,10101,full,navy,2026-06-08T07:19:00+00:00,2026-06-09T20:19:00+00:00,
1011,modern vinyl record tee,live,variation,recraft-crisp,"vintage vinyl record for a producer, nostalgic mood, 2 colors",tee,bs_70,batch_20260323_1,998,6ddc10b1-9c31-7ba0-6ee2-c5e10410d3bc,10111,full,charcoal,2026-03-23T18:02:00+00:00,2026-03-26T08:02:00+00:00,
1012,modern headphones tee,approved,new,nb2-4k,"watercolor headphones for a vinyl collector, nostalgic mood, 2 colors",tee,,batch_20260123_3,,5ac54735-2777-3e74-6a32-04a39e49f179,10121,legacy-pre-funnel,royal,2026/01/23 12:53,2026/01/23 14:53,
